PVC-008_35,7673609.577964518,3478191.3035672004,-999999.0
PVC-011_35,7673520.807712033,3478302.7037333883,-999999.0
PVC-021_35,7673321.140891469,3478345.021332279,-999999.0
PVC-042_35,7673537.6032257,3478410.9105811487,-999999.0
PVC-068_35,7673618.857131275,3478459.0016569817,-999999.0
PVC-086_35,7673616.2636701595,3478282.501184226,-999999.0
PVC-103_35,7673478.024279923,3478365.627342164,-999999.0
PVC-129_35,7673318.663524317,3478280.148642431,-999999.0
MP-005_45,7678954.396201411,3481383.637401949,-999999.0
P-009_60,7674121.803196831,3479102.7763005686,-999999.0
UZ-004_18,7689432.631528676,3476345.8789366377,-999999.0
UZ-006_18,7689311.444697649,3476513.7229080144,-999999.0
ES-006_20,7674287.609664872,3478511.630586368,-999999.0
ES-009_20,7674172.543135027,3478506.928863171,-999999.0
ES-013_20,7674179.468334635,3478333.1437230567,-999999.0
ES-016_20,7674139.429316472,3478162.547973162,-999999.0
GSM2-003_20,7674234.548863645,3478688.3612401113,-999999.0
GSM2-004_20,7674284.6861845665,3478679.215116416,-999999.0
GSM2-005_20,7674261.304148232,3478760.773485496,-999999.0
GSM2-002_20,7674328.148856694,3478695.172763881,-999999.0
GSM2-007_20,7674298.294953591,3478718.008606343,-999999.0
GSM2-009_20,7674287.530002608,3478733.520298984,-999999.0
KP-10-01_15,7672918.422986028,3479437.385452581,-999999.0
OK-001_25,7673700.197155541,3478618.7221281505,-999999.0
OK-005_15,7673677.310266175,3478635.5519870166,-999999.0
OK-009_15,7673652.924423776,3478651.879606443,-999999.0
PL-005_20,7673297.919085526,3478629.413474351,-999999.0
PL-008_20,7673280.672813784,3478524.065154947,-999999.0
PL-010_20,7673251.679671266,3478450.0474931863,-999999.0
PL-013_20,7673189.067122575,3478416.2332497328,-999999.0
PMZ-003_10,7671094.378452089,3481143.9262954537,-999999.0
PO-001-1_15,7668724.009949133,3478247.984636431,-999999.0
PVC-108-3_35,7673440.290477109,3478305.8029021737,-999999.0
PVC-112-2_35,7673452.113363841,3478283.353713278,-999999.0
PVC-26-1_35,7673682.161850724,3478354.62950482,-999999.0
